xml_md5,RunNum,TestNum,sponsor,model,balance,SampleNum,SampleRate,config,note,tm,ardm,SweepType,sweep,tare,,,,,,,,,,
fbf8edd42b84e61799bbfd72ff59644f,81,2305,LSWT,WB-57,Langley711,2000,500,WB-Q-S30-PN-IMUs, ,N/A,N/A,Theta,A5,"[82, 23]",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Point,Temp,Qact,Qset,Ptot,Pstat,Baro,Theta,Psi,Phi,Gamma,Beta,Rho,Uact,a,Mach,Mu,Re,TempT,NF,AF,PM,RM,YM,SF
0,111.67997505825875,0.1,-0.016971251,-0.089237058,0.15794501327582317,2095.61,9.661633663191221,0.000272213,0,0,0.000272213,0.002136976,9.674201887,1175.9295435312986,0.008226855,4.0828345051662405e-07,50635.263334916956,111.68790233032081,-136.86526,22.130404808904526,0,0.031299368,-0.260671712,-1.020421671
1,110.85810191242582,49.97814224,46.46665697315517,49.53486450833496,-1.155434195,2095.41,10.206077935508048,0.000272213,0,0,0.000272213,0.002138509,216.1969068,1175.083466026495,0.18398429814520625,4.078285192704916e-07,1133660.554979896,114.8171650041433,-37.2817772,12.261429970546239,22.687664831206373,-5.79677925,-1.820156464,-2.851825914
2,110.3052620514511,49.939395113544535,46.430632235507254,50.242207599432696,-0.270935798,2095.39,4.222482958075374,0.000272213,0,0,0.000272213,0.002141467,215.9637821543758,1174.5140020271194,0.18387501705525788,4.075223280241721e-07,1134856.475649724,114.2557916500545,-236.6501309,25.898179130379408,-41.73504452,-3.235045243,-0.257279456,-0.67312575
3,110.28880157357287,49.98345452,46.471596011069764,50.305054064641915,-0.379698617,2095.37,5.375550953960709,0.000272213,0,0,0.000272213,0.002141397,216.0625486905764,1174.4970423425345,0.18396176482457513,4.0751320916600217e-07,1135363.8932223467,114.24294538323608,-199.0083836,25.847007624134175,-29.65843898,-1.694314917,-0.198027719,-0.947382843
4,110.14563764630053,50.113665808946664,46.59265859864692,50.24708314683184,-0.56311519,2095.3,6.529945600730798,0.000272213,0,0,0.000272213,0.002141676,216.32970830769955,1174.3495262687054,0.18421236903381752,4.074338931369306e-07,1137137.1543354362,114.10956603603125,-159.4961851,24.270767007050924,-16.85390742,-2.705123469,-0.398924185,-0.93250102
5,110.22542328027326,50.04556949033418,46.52934675598444,50.12350401125392,-0.663076228,2095.29,7.675952710572635,0.000272213,0,0,0.000272213,0.002141264,216.20348909698777,1174.4317396511226,0.18409200109085377,4.0747809735460767e-07,1136131.6628068984,114.18472745118828,-122.8804829,22.01567702571615,-4.810917121,-2.697378723,-0.638125786,-1.104439366
6,110.2022441237322,50.23417250435765,46.70469844301873,50.14666357965875,-0.881400195,2095.26,8.859639668,0.000272213,0,0,0.000272213,0.002141097,216.6189366591499,1174.4078557832804,0.184449496,4.0746525554483475e-07,1138262.0227213602,114.17677897979394,-82.58541355,18.080318135278326,8.316473477720868,-3.965757858,-1.022072605,-1.472547451
7,110.1305667870267,50.04455659473014,46.52840502685101,49.92247193056139,-0.910111181,2095.26,10.15685735962553,0.000272213,0,0,0.000272213,0.002141337,216.1976051549979,1174.3339961811596,0.1841023131903319,4.0742554298343656e-07,1136286.1401388163,114.08965545726545,-39.22064794,12.646123187930174,21.993328197603386,-2.215521816,-0.868811656,-2.306777389
8,110.17285630014958,50.144690769251845,46.62150373220883,49.826144598626094,-1.187419191,2095.22,11.396772565126161,0.000272213,0,0,0.000272213,0.002140854,216.4382193073345,1174.377574,0.18430036824441695,4.074489736220804e-07,1137228.5989491472,114.1407623008335,3.0785206676204377,5.798137503,35.39032286802372,-4.057261204,-1.664845574,-2.898923468
9,110.13784405382245,50.01364005,46.49966069011381,49.651981306757975,-1.362843835,2095.2,12.58979705323064,0.000272213,0,0,0.000272213,0.002140786,216.15865496675212,1174.3414952211829,0.1840679698762066,4.0742957503589676e-07,1135777.5485581337,114.0955063127198,42.93311800791088,-1.909707616,48.37679131813834,-3.793978223,-1.655402339,-3.17178352
10,110.0673037809117,50.06141340720628,46.54407747260177,49.556866383948105,-1.48765391,2095.23,13.790358438215295,0.000272213,0,0,0.000272213,0.002140954,216.25337784533488,1174.2688032300462,0.1841600298419659,4.0739049034859146e-07,1136473.5063247143,114.02843537394239,82.68655129,-10.93323498,61.24383146539869,-3.618971915,-1.783302708,-3.216391036
11,110.03253167454056,50.01228952,46.49840505131568,49.42854705884254,-1.64125855,2095.26,14.986102797603932,0.000272213,0,0,0.000272213,0.002140958,216.14703427427133,1174.232968800308,0.184075086,4.0737122309269856e-07,1135970.6333799874,113.98976841691314,119.71018204408418,-20.26534208,73.14241969071999,-4.57588838,-2.389986414,-3.339398819
12,109.96977994545563,50.02215518576356,46.507577550288275,49.432325392413034,-1.694002954,2095.29,16.167069788958997,0.000272213,0,0,0.000272213,0.002141171,216.15762085221675,1174.168297174128,0.18409424046999354,4.0733645086682057e-07,1136236.0602864383,113.92740433710884,153.3943659576275,-28.82264263,85.41183186883735,-2.969914374,-2.579121211,-2.929980963
13,109.90889033171412,49.907592670927855,46.401064245867644,49.27253244086366,-1.78726034,2095.2,17.287030156627452,0.000272213,0,0,0.000272213,0.002141212,215.90786293749383,1174.1055412297194,0.18389135844752003,4.0730270871724175e-07,1135039.199335923,113.85737438435427,181.09462100980062,-34.00658342,95.17905513202483,-2.672344254,-2.467824524,-3.189854148
14,109.54235223074745,0.1,-0.048007935,-0.170977938,0.035068791058327095,2093.64,9.692330286042365,0.000272213,0,0,0.000272213,0.002142859,9.660912615166332,1173.7276974569456,0.008230966,4.0709955383914935e-07,50852.37200922867,109.55025773867413,-136.9682191,22.089427434316953,0.004374616,0.12293976124610352,-0.232559704,-0.672775881
